X,Y,ID,FacilityID,LotName,Community,Address,City,State,Zipcode,Lat,Lon,ConvenientTo,Type,Hours,HourlyCost,DailyCost,MonthlyCost,SpecialFeatures,Spaces,Status
-118.4492802,34.18374189,270,630,Erwin & Van Nuys Parking Lot,Van Nuys,14517 Erwin St,Van Nuys,CA,91411-2341,34.183737,-118.449268,San Fernando Valley Civic Center & shops,Operated,7am-5:30pm Mon-Fri,$1.10 ,$5.00 ,$49.50 ,$3.00 flat rate after 2pm,75,Operational
-118.4467152,34.18746789,271,631,Gilmore & Sylmar Parking Lot,Van Nuys,14402 Gilmore St,Van Nuys,CA,91401-1429,34.187463,-118.446703,San Fernando Valley Civic Center & shops,Operated,8am-5pm Mon-Fri,$1.10 ,$5.00 ,$38.50 ,$2.00 flat rate after 2pm,68,Operational
-118.3295771,33.99407488,272,632,11th & 52nd Parking Lot,Hyde Park,5345 11th Ave,Los Angeles,CA,90043-4817,33.99407,-118.329565,Restaurants & shops,Free,8am-6pm Mon-Sat,Free,Free,N/A,10 hrs max time limit; no overnight parking 7pm-7am nightly,29,Operational
-118.3295771,33.99292288,273,633,11th & 54th Parking Lot,Hyde Park,5407 11th Ave,Los Angeles,CA,90043-2511,33.992918,-118.329565,Restaurants & shops,Free,8am-6pm Mon-Sat,Free,Free,N/A,2 hrs max time limit; no overnight parking 7pm-7am nightly,32,Operational
-118.3295771,33.99075088,274,634,11th & 57th Parking Lot,Hyde Park,5701 11th Ave,Los Angeles,CA,90043-2501,33.990746,-118.329565,"Post Office, restaurants & shops",Free,8am-6pm Mon-Sat,Free,Free,$25.00 ,2 hrs max time limit; no overnight parking 7pm-7am nightly,35,Operational
-118.1945601,34.1091189,275,635,Ave 56 & Marmion Parking Lot,Highland Park,119 N Avenue 56,Highland Park,CA,90042-4116,34.109114,-118.194548,"Metro Gold Line Station, restaurants & shops",Metered & Free,7am-9pm Daily,$0.50 ,$2.50 ,N/A,10 hrs max time limit; free parking with 2 hrs max time limit,84,Operational
-118.1931961,34.1105019,276,636,Ave 58 & Marmion Parking Lot,Highland Park,5712 E Marmion Wy,Highland Park,CA,90042-4206,34.110497,-118.193184,"Metro Gold Line Station, restaurants & shops",Metered & Free,7am-9pm Daily,$0.50 ,$2.50 ,N/A,10 hrs max time limit; free parking with 2 hrs max time limit,62,Operational
-118.1908881,34.1109589,277,637,Marmion & Ave 59 Parking Lot,Highland Park,124 N Avenue 59,Highland Park,CA,90042-4208,34.110954,-118.190876,"Metro Gold Line Station, restaurants & shops",Metered & Free,7am-9pm Daily,$0.50 ,$2.50 ,N/A,10 hrs max time limit; free parking with 2 hrs max time limit,36,Operational
-118.1916371,34.1097149,278,638,Ave 58 & Figueroa West Parking Lot,Highland Park,120 S Avenue 58,Highland Park,CA,90042-4704,34.10971,-118.191625,"Metro Gold Line Station, restaurants & shops",Metered,7am-9pm Daily,$0.50 ,$2.50 ,N/A,10 hrs max time limit,28,Operational
-118.1935661,34.1086519,279,639,Roselawn & Figueroa Parking Lot,Highland Park,116 S Avenue 56,Highland Park,CA,90042-4608,34.108647,-118.193554,Restaurants & shops,Metered & Free,7am-9pm Daily,$0.50 ,$2.50 ,$60.00 ,10 hrs max time limit; free parking with 2 hrs max time limit,46,Operational
-118.5333452,34.19990489,280,640,Darby & Sherman Way Parking Lot,Reseda,7130 Darby Ave,Reseda,CA,91335,34.1999,-118.533333,Shops,Free,24 hours Daily,Free,Free,N/A,10 hrs max time limit,46,Operational
-118.2870851,33.73614185,281,641,9th & Pacific Parking Lot,San Pedro,462 W 9th St,San Pedro,CA,90731,33.736137,-118.287073,"Hope Chapel, restaurants & shops",Free,8am-6pm Mon-Sat,Free,Free,$30.00 ,2am-6am overnight parking by monthly permit only,102,Operational
-118.3828722,34.05399188,282,642,Wooster & Pico Parking Garage,Crestview,1421 S Wooster St,Los Angeles,CA,90035-3406,34.053987,-118.38286,Shops,Metered,7am-9pm Daily,$0.50 ,$2.50 ,N/A,10 hrs max time limit; max height clearance 7 feet 6 inches,50,Operational
-118.2579371,34.07619889,283,643,Echo Park & Sunset Parking Lot,Echo Park,1147 Echo Park Ave,Echo Park,CA,90026-4212,34.076194,-118.257925,"Echo Park, restaurants & shops",Metered,7am-9pm Daily,$0.50 ,$2.50 ,N/A,14 hrs max time limit,43,Operational
-118.6004772,34.20151889,284,644,Remmet & Wyandotte Parking Lot,Canoga Park,7219 Remmet Ave,Canoga Park,CA,91303-1532,34.201514,-118.600465,Canoga Park Youth Art Center & shops,Metered,7am-9pm Daily,$0.50 ,$2.50 ,N/A,10 hrs max time limit,18,Operational
-118.4513362,34.04670288,285,645,Purdue & Santa Monica Parking Lot,West Los Angeles,1540 Purdue Ave,Los Angeles,CA,90025-3105,34.046698,-118.451324,"Entertainment, restaurants & shops",Metered,7am-9pm Daily,$1.00 ,$4.00/4 hrs,N/A,4 hrs max time limit,37,Operational
-118.2596341,34.1172609,286,646,Larga & Glendale Parking Lot,Atwater Village ,3528 Larga Ave,Los Angeles,CA,90039-1926,34.117256,-118.259622,Restaurants & shops,Free,8am-6pm Mon-Sat,Free,Free,N/A,10 hrs max time limit; no overnight parking 2am-6am nightly,38,Operational
-118.2872991,33.73714185,287,647,8th & Pacific Parking Lot,San Pedro,474 W 8th St,San Pedro,CA,90731,33.737137,-118.287287,Restaurants & shops,Free,8am-6pm Mon-Sat,Free,Free,$30.00 ,No overnight parking 2am-6am nightly,41,Operational
-118.3326771,34.09865089,288,649,Schrader & Sunset Parking Lot,Hollywood,1533 N Schrader Blvd,Hollywood,CA,90028-7203,34.098646,-118.332665,"Hollywood YMCA, entertainment & shops",Operated,"4pm-12:30am Mon-Fri, 8am-12:30am Sat-Sun",$9.00 flat,$9.00 ,$125.00 ,Monthly 6am-8pm Daily; $2.50 per hour with YMCA validation Mon-Fri 6am-10:30am ,55,Operational
-118.2637781,33.78165486,289,650,Marine & Anaheim Parking Lot,Wilmington,928 Marine Ave,Wilmington,CA,90744-4415,33.78165,-118.263766,Shops,Free,8am-6pm Mon-Sat,Free,Free,N/A,2 hrs max time limit,40,Operational
-118.4552022,34.04465788,290,651,Barry & Santa Monica Parking Lot,West Los Angeles,1516 Barry Ave,Los Angeles,CA,90025-2904,34.044653,-118.45519,"Entertainment, restaurants & shops",Metered,7am-9pm Daily,$1.00 ,$4.00/10 hrs,N/A,10 hrs max time limit,20,Operational
-118.4524352,34.04637588,291,652,Butler & Santa Monica Parking Lot,West Los Angeles,1530 Butler Ave,Los Angeles,CA,90025-3002,34.046371,-118.452423,West LA Civic Center & shops,Metered,7am-9pm Daily,$1.00 ,$4.00/4 hrs,N/A,4 hrs max time limit,43,Operational
-118.4501802,34.04667388,292,653,Corinth & Santa Monica Parking Lot,West Los Angeles,1547 Corinth Ave,Los Angeles,CA,90025-3201,34.046669,-118.450168,West LA Civic Center & shops,Metered,7am-9pm Daily,$1.00 ,$4.00/10 hrs,$50.00 ,10 hrs max time limit,38,Operational
-118.4479792,34.04743788,293,654,Beloit & Santa Monica Parking Lot,West Los Angeles,1611 Beloit Ave,Los Angeles,CA,90025-3106,34.047433,-118.447967,"Entertainment, restaurants & shops",Metered,7am-9pm Daily,$1.00 ,$4.00/10 hrs,$40.00 ,10 hrs max time limit,20,Operational
-118.4481362,34.04576088,294,655,Idaho & Sawtelle Parking Lot,West Los Angeles,11312 Idaho Ave,Los Angeles,CA,90025-3108,34.045756,-118.448124,Restaurants & shops,Metered,7am-9pm Daily,$1.00 ,$4.00/4 hrs,N/A,"4 hrs max time limit, no overnight parking",17,Operational
-118.4527822,34.04465788,295,656,Colby & Santa Monica Parking Lot,West Los Angeles,1615 Colby Ave,Los Angeles,CA,90025-3013,34.044653,-118.45277,"Entertainment, restaurants & shops",Metered,7am-9pm Daily,$1.00 ,$4.00/4 hrs,N/A,4 hrs max time limit,34,Operational
-118.2174431,34.07328989,296,657,Ave 22 & Broadway Parking Lot,Lincoln Heights,221 Avenue 22,Lincoln Heights,CA,90031-2206,34.073285,-118.217431,Restaurants & shops,Free,8am-6pm Mon-Sat,Free,Free,N/A,10 hrs max time limit,40,Operational
-118.2171351,34.07302189,297,658,Ave 24 & Broadway Parking Lot,Lincoln Heights,216 Avenue 24,Lincoln Heights,CA,90031-2210,34.073017,-118.217123,Restaurants & shops,Metered,7am-9pm Daily,$0.50 ,$1.00/2 hrs,$60.00 ,2 hrs max time limit,60,Operational
-118.2154451,34.07253389,298,659,Daly & Broadway Parking Lot,Lincoln Heights,2334 Daly St,Lincoln Heights,CA,90031-2263,34.072529,-118.215433,Restaurants & shops,Metered,7am-9pm Daily,$0.50 ,$2.50 ,N/A,10 hrs max time limit,79,Operational
-118.2171771,34.07436789,299,660,Ave 24 & Pasadena Parking Lot,Lincoln Heights,154 Ave 24,Lincoln Heights,CA,90031-2256,34.074363,-118.217165,Restaurants & shops,Metered,7am-9pm Daily,$0.50 ,$2.50 ,$30.00 ,10 hrs max time limit,51,Operational
-118.2142451,34.07404789,300,661,Workman & Ave 26 Parking Lot,Lincoln Heights,2416 Workman St,Lincoln Heights,CA,90031-2320,34.074043,-118.214233,Restaurants & shops,Free,8am-6pm Mon-Sat,Free,Free,N/A,10 hrs max time limit,46,Operational
