zip,facility_type,ev_slow,ev_dc_fast_count,spaces
90212,HOTEL,11.0,0.0,
90212,SHOPPING_CENTER,2.0,0.0,
90230,CAR_DEALER,4.0,0.0,
90230,HOTEL,2.0,0.0,
90232,PARK,3.0,0.0,
90241,CAR_DEALER,6.0,0.0,
90241,REC_SPORTS_FACILITY,3.0,0.0,
90241,SHOPPING_CENTER,4.0,0.0,
90242,HOSPITAL,10.0,0.0,
90242,MUNI_GOV,12.0,0.0,
90245,HOTEL,3.0,0.0,
90245,OFFICE_BLDG,50.0,0.0,
90245,PARKING_LOT,4.0,0.0,
90247,CAR_DEALER,1.0,0.0,
90247,UTILITY,1.0,0.0,
90250,HOTEL,8.0,0.0,
90250,SHOPPING_CENTER,0.0,16.0,
90254,MUNI_GOV,8.0,0.0,
90254,SHOPPING_MALL,2.0,20.0,
90262,SCHOOL,2.0,0.0,
90265,MUNI_GOV,2.0,0.0,
90265,OFFICE_BLDG,33.0,0.0,
90265,RESTAURANT,8.0,0.0,
90265,SHOPPING_CENTER,2.0,0.0,
90265,SHOPPING_MALL,0.0,8.0,
90266,GROCERY,2.0,0.0,
90266,HOTEL,6.0,0.0,
90266,MUNI_GOV,4.0,0.0,
90266,OFFICE_BLDG,10.0,0.0,
90266,PARKING_LOT,18.0,0.0,
90266,SHOPPING_CENTER,0.0,12.0,
90266,SHOPPING_MALL,3.0,0.0,
90272,MUSEUM,7.0,0.0,25.0
90272,OFFICE_BLDG,3.0,0.0,25.0
90272,PARK,2.0,0.0,25.0
90275,COLLEGE_CAMPUS,2.0,0.0,
90277,HOTEL,2.0,0.0,
90277,MULTI_UNIT_DWELLING,14.0,0.0,
90278,GAS_STATION,1.0,0.0,
90280,CAR_DEALER,2.0,0.0,
90291,SHOPPING_CENTER,2.0,0.0,53.0
90291,SHOPPING_CENTER,2.0,0.0,51.0
90291,SHOPPING_CENTER,2.0,0.0,177.0
90291,SHOPPING_CENTER,2.0,0.0,205.0
90292,CAR_DEALER,3.0,0.0,
90292,HOTEL,6.0,0.0,
90292,MUNI_GOV,62.0,0.0,
90292,PAY_LOT,2.0,0.0,
90292,SHOPPING_CENTER,2.0,0.0,
90293,OFFICE_BLDG,4.0,0.0,
90301,GROCERY,2.0,0.0,
90303,OTHER_ENTERTAINMENT,32.0,0.0,
90303,SCHOOL,1.0,0.0,
90401,CAR_DEALER,3.0,0.0,
90401,CONVENIENCE_STORE,2.0,0.0,
90401,HOTEL,29.0,0.0,
90401,MUNI_GOV,12.0,2.0,
90401,PARKING_GARAGE,10.0,0.0,
90401,SHOPPING_CENTER,0.0,10.0,
90402,PARK,2.0,0.0,
90403,GROCERY,4.0,0.0,
90403,HOTEL,1.0,0.0,
90403,PARKING_GARAGE,34.0,0.0,
90403,PARKING_LOT,2.0,0.0,
90404,GROCERY,2.0,0.0,
90404,HOSPITAL,4.0,0.0,
90404,HOTEL,4.0,0.0,
90404,PARKING_LOT,4.0,0.0,
90405,AIRPORT,2.0,0.0,
90405,HOTEL,9.0,0.0,
90405,MULTI_UNIT_DWELLING,4.0,0.0,
90405,MUNI_GOV,5.0,0.0,
90405,OFFICE_BLDG,1.0,0.0,
90405,PARKING_LOT,4.0,0.0,
90501,OFFICE_BLDG,4.0,0.0,
